"ffuenf Extensions","ffuenf Extensions"
"Extensions Installed","Extensions Installed"
"Here you can find a list of all ffuenf extensions currently installed on your system.","Here you can find a list of all ffuenf extensions currently installed on your system."
"Logging Configuration", "Logging Configuration"
"Enable the logging functions for debugging purposes only", "Enable the logging functions for debugging purposes only"
"Name of logfile", "Name of logfile"
"Force logging", "Force logging"
"Force logging even if the Magento setting is off", "Force logging even if the Magento setting is off"
"Enable", "Enable"
"Common", "Common"
